Strategy;ALLCorALLD;AON2;Adaptive;Adaptive Pavlov;Adaptive Pavlov.1;Adaptive Tit Fo;AdaptorBrief;AdaptorLong;Aggravater;Alexei;Alternator;Alternator Hunt;Anti Tit For Ta;AntiCycler;Appeaser;Arrogant QLearn;Average Copier;BackStabber;Better and Bett;Bully;Burn Both Ends;Bush Mosteller;CAPRI;Calculator;Cautious QLearn;CollectiveStrat;Contrite Tit Fo;Cooperator;Cooperator Hunt;Cycle Hunter;Cycler CCCCCD;Cycler CCCD;Cycler CCCDCD;Cycler CCD;Cycler DC;Cycler DDC;DBS;Defector;Defector Hunter;Delayed AON1
Cooperator Hunt;4,96;0,09;0,12;2,91;2,91;2,98;2,12;1,95;2,96;2,97;1,5;4,96;0,02;2,7;3,0;2,9;2,66;0,16;0,32;0,0;2,8;1,58;0,09;2,92;2,94;0,02;2,98;4,96;2,99;4,96;2,52;2,25;2,01;2,01;1,5;0,99;0,16;0,0;4,96;3,0
Cycle Hunter;0,0;3,0;0,09;3,0;3,0;3,0;3,0;0,3;2,96;2,98;2,94;3,0;0,02;2,7;3,0;2,9;3,0;2,97;0,33;0,0;1,05;1,35;3,0;0,3;2,86;0,02;3,0;3,0;0,06;3,0;4,23;3,93;3,58;3,63;2,94;2,28;3,0;0,0;3,0;3,0
Cycler CCCCCD;3,33;0,26;0,26;0,26;0,26;2,84;2,83;0,28;0,22;2,82;1,66;3,33;0,68;3,01;1,78;3,16;2,84;0,55;0,58;0,66;2,62;1,62;2,84;0,4;2,96;0,18;2,84;3,33;3,3;0,36;2,67;2,5;2,17;2,17;1,83;1,32;3,33;0,16;3,33;1,78
Cycler CCCD;0,25;0,32;0,34;0,33;0,33;2,76;2,76;0,34;0,27;2,74;1,75;3,5;1,0;3,18;1,88;3,36;2,6;0,51;0,59;0,98;2,42;1,54;2,76;0,46;3,36;0,26;2,76;3,5;3,5;0,38;2,92;2,5;2,35;2,43;2,0;1,32;0,54;0,25;3,5;1,88
Cycler CCCDCD;3,66;0,4;0,43;0,42;0,42;2,67;2,67;0,44;0,35;2,66;1,83;3,66;1,34;3,34;2,5;3,4;2,5;0,53;0,56;1,32;2,48;1,32;0,42;0,57;3,45;0,34;2,67;3,66;3,66;0,53;3,0;2,74;2,34;2,5;2,16;1,48;0,57;0,33;3,66;2,5
Cycler CCD;0,33;0,38;0,43;0,42;0,42;2,67;2,65;0,44;0,33;2,66;2,0;3,66;1,34;3,32;2,01;3,5;2,52;0,53;0,69;1,32;2,5;1,5;2,67;0,56;3,48;0,34;2,67;3,66;3,66;0,43;3,0;2,83;2,5;2,34;2,0;1,65;0,56;0,33;3,66;2,01
Cycler DC;0,5;0,57;0,6;3,0;3,96;2,5;2,46;0,54;0,5;2,5;2,5;0,6;2,02;3,65;2,25;3,76;2,31;0,62;0,82;2,0;2,3;1,56;0,54;0,66;3,86;0,52;2,5;4,0;4,0;0,64;3,5;3,25;3,01;2,84;2,0;1,66;2,54;0,5;4,0;2,26
Cycler DDC;0,67;1,86;0,78;3,61;0,71;2,01;0,71;1,0;0,67;2,01;2,5;4,34;3,02;3,98;3,0;4,17;1,92;0,76;0,98;3,0;1,85;1,52;1,35;0,79;4,15;0,69;2,01;4,34;4,34;0,78;3,84;3,42;3,18;3,35;2,5;1,66;0,82;0,67;4,34;2,03
DBS;0,98;3,0;1,04;3,0;3,0;3,0;2,98;2,77;2,96;2,98;2,47;3,0;4,87;4,52;3,0;2,85;3,0;2,97;1,32;4,88;2,76;1,95;3,0;1,17;2,79;0,99;3,0;3,0;4,84;3,0;2,5;3,84;3,55;3,56;2,47;2,26;3,0;0,98;3,0;3,0
Defector;5,0;2,36;1,12;1,02;1,02;1,02;1,02;2,4;1,0;1,02;3,0;5,0;5,0;4,6;3,0;1,98;1,0;1,08;1,52;4,98;1,02;2,12;1,02;1,02;1,52;1,02;1,02;5,0;5,0;5,0;4,34;4,0;3,68;3,68;3,0;2,32;1,08;1,0;1,08;3,02
Defector Hunter;0,98;3,0;0,09;3,0;3,0;3,0;1,34;1,65;2,96;2,98;1,5;3,0;0,02;2,7;3,0;2,86;2,98;2,97;0,36;0,04;2,62;1,5;3,0;0,26;2,84;0,02;3,0;3,0;0,06;3,0;2,5;2,25;2,01;2,01;1,5;0,99;3,0;0,98;3,0;3,0
Delayed AON1;3,0;3,0;4,82;3,0;3,0;3,0;1,28;1,62;0,5;2,98;2,25;3,0;1,34;3,65;3,0;4,08;1,94;2,98;0,83;1,32;1,94;1,35;3,0;2,02;4,32;0,51;3,0;3,0;2,98;3,0;3,4;3,12;2,5;2,84;2,24;1,98;3,0;0,5;3,0;3,0
